model,step,success_rate
RoboRef-Asym,5000,0.001
RoboRef-Asym,10000,0.03
RoboRef-Asym,15000,0.025
RoboRef-Asym,20000,0.022
RoboRef-Asym,25000,0.022
RoboRef-Asym,30000,0.036
RoboRef-Asym,35000,0.072
RoboRef-Asym,40000,0.093
RoboRef-Asym,45000,0.072
RoboRef-Asym,55000,0.086
RoboRef-Asym,60000,0.122
RoboRef-Asym,70000,0.136
RoboRef-Asym,75000,0.15
RoboRef-Asym,80000,0.201
RoboRef-Asym,85000,0.229
RoboRef-Asym,90000,0.265
RoboRef-Asym,95000,0.258
RoboRef-Asym,105000,0.229
RoboRef-Asym,110000,0.243
RoboRef-Asym,115000,0.201
RoboRef-Asym,120000,0.193
RoboRef-Asym,125000,0.201
RoboRef-Asym,130000,0.215
RoboRef-Asym,135000,0.243
RoboRef-Asym,140000,0.236
RoboRef-Asym,145000,0.236
RoboRef-Asym,150000,0.272
RoboRef-Asym,155000,0.272
RoboRef-Asym,160000,0.251
RoboRef-Asym,170000,0.265
RoboRef-Asym,175000,0.222
RoboRef-Asym,180000,0.193
RoboRef-Asym,185000,0.179
RoboRef-Asym,190000,0.215
RoboRef-Asym,195000,0.201
RoboRef-Asym,200000,0.165
RoboRef-Asym,205000,0.136
RoboRef-Asym,210000,0.136
RoboRef-Asym,215000,0.143
RoboRef-Asym,220000,0.172
RoboRef-Asym,225000,0.186
RoboRef-Asym,230000,0.243
RoboRef-Asym,235000,0.286
RoboRef-Asym,240000,0.35
RoboRef-Asym,245000,0.365
RoboRef-Asym,250000,0.408
RoboRef-Asym,255000,0.372
RoboRef-Asym,260000,0.35
RoboRef-Asym,265000,0.3
RoboRef-Asym,270000,0.286
RoboRef-Asym,275000,0.258
RoboRef-Asym,280000,0.258
RoboRef-Asym,285000,0.229
RoboRef-Asym,290000,0.236
RoboRef-Asym,295000,0.208
RoboRef-Asym,300000,0.193
RoboRef-Asym,305000,0.229
RoboRef-Asym,310000,0.243
RoboRef-Asym,315000,0.272
RoboRef-Asym,320000,0.272
RoboRef-Asym,325000,0.3
RoboRef-Asym,335000,0.343
RoboRef-Asym,340000,0.315
RoboRef-Asym,350000,0.329
RoboRef-Asym,355000,0.358
