model,cell,n,n_pos,n_neg,succ_AUC,succ_TPR@5FPR,succ_tau@5FPR,succ_denseECE,prog_VOCpearson,prog_kendall,prog_AUC
baseline,ood,782,666,116,0.8709,0.4444,0.8984,0.7096,0.8998,0.9002,0.867
baseline,indist_icloff,3142,1344,1798,0.6559,0.0,0.9844,0.3684,0.677,0.7125,0.6152
baseline,indist_iclon,129,47,82,0.5429,0.0426,0.918,0.3301,0.6723,0.6331,0.4982
run1_s4000,ood,782,666,116,0.5971,0.0015,0.9211,0.5853,-0.0366,-0.0307,0.5127
run1_s4000,indist_icloff,3142,1344,1798,0.859,0.0,0.9182,0.3784,-0.0451,-0.0211,0.8553
run1_s4000,indist_iclon,129,47,82,0.7961,0.1915,0.8594,0.292,-0.0171,-0.029,0.6945
run1_s5000,ood,782,666,116,0.5933,0.0045,0.9025,0.602,-0.0365,-0.0355,0.5115
run1_s5000,indist_icloff,3142,1344,1798,0.8359,0.0149,0.8925,0.3859,-0.0477,-0.0248,0.8361
run1_s5000,indist_iclon,129,47,82,0.7665,0.2128,0.8555,0.2963,-0.0176,-0.0334,0.688
run2_s5000,ood,782,666,116,0.5627,0.006,0.9146,0.5691,-0.0313,-0.038,0.5256
run2_s5000,indist_icloff,3142,1344,1798,0.8816,0.1019,0.8739,0.3819,-0.0511,-0.0227,0.8488
run2_s5000,indist_iclon,129,47,82,0.8542,0.1702,0.5273,0.3241,-0.0114,-0.0057,0.6938
run3_s5000,ood,782,666,116,0.5419,0.0,0.6094,0.7213,0.876,0.8126,0.5102
run3_s5000,indist_icloff,3142,1344,1798,0.8731,0.0365,0.4844,0.4153,0.7333,0.7374,0.7715
run3_s5000,indist_iclon,129,47,82,0.8651,0.1702,0.0542,0.3581,0.1316,0.0198,0.7927
run4_s6500,ood,782,666,116,0.6636,0.009,0.8488,0.6332,-0.0314,-0.0061,0.5777
run4_s6500,indist_icloff,3142,1344,1798,0.6571,0.0,0.8896,0.3743,-0.0348,-0.0112,0.6811
run4_s6500,indist_iclon,129,47,82,0.6523,0.0,0.832,0.3258,-0.022,-0.0241,0.6134
run5_s6500,ood,782,666,116,0.6874,0.006,0.8281,0.6048,-0.0206,-0.0146,0.5529
run5_s6500,indist_icloff,3142,1344,1798,0.573,0.0022,0.7697,0.3401,-0.0305,-0.0149,0.6155
run5_s6500,indist_iclon,129,47,82,0.5572,0.0851,0.3535,0.2872,-0.0223,-0.0594,0.4824
run6_s6500,ood,782,666,116,0.5775,0.033,0.418,0.6962,0.4403,0.3774,0.5017
run6_s6500,indist_icloff,3142,1344,1798,0.678,0.0015,0.4629,0.4075,0.5591,0.5655,0.5245
run6_s6500,indist_iclon,129,47,82,0.6546,0.0,0.105,0.3541,-0.174,-0.0482,0.3791
