save_dir,kind,step,score
coffeepush_robometer_4b_22757287,eval,5000,0.15
coffeepush_robometer_4b_22757287,eval,10000,0.0
coffeepush_robometer_4b_22757287,eval,15000,0.0
coffeepush_robometer_4b_22757287,eval,20000,0.0
coffeepush_robometer_4b_22757287,train,5000,0.0
coffeepush_robometer_4b_22757287,train,10000,0.02
coffeepush_robometer_4b_22757287,train,15000,0.0
coffeepush_robometer_4b_22757287,train,20000,0.04
coffeepush_robometer_4b_22764141,eval,5000,0.15
coffeepush_robometer_4b_22764141,eval,10000,0.05
coffeepush_robometer_4b_22764141,eval,15000,0.05
coffeepush_robometer_4b_22764141,eval,20000,0.0
coffeepush_robometer_4b_22764141,train,5000,0.0
coffeepush_robometer_4b_22764141,train,10000,0.06
coffeepush_robometer_4b_22764141,train,15000,0.06
coffeepush_robometer_4b_22764141,train,20000,0.0
coffeepush_robometer_4b_22765381,eval,5000,0.0
coffeepush_robometer_4b_22765381,eval,10000,0.0
coffeepush_robometer_4b_22765381,eval,15000,0.15
coffeepush_robometer_4b_22765381,eval,20000,0.0
coffeepush_robometer_4b_22765381,train,5000,0.0
coffeepush_robometer_4b_22765381,train,10000,0.0
coffeepush_robometer_4b_22765381,train,15000,0.02
coffeepush_robometer_4b_22765381,train,20000,0.0
coffeepush_robometer_4b_22777693,eval,5000,0.0
coffeepush_robometer_4b_22777693,eval,10000,0.0
coffeepush_robometer_4b_22777693,eval,15000,0.1
coffeepush_robometer_4b_22777693,eval,20000,0.0
coffeepush_robometer_4b_22777693,train,5000,0.02
coffeepush_robometer_4b_22777693,train,10000,0.0
coffeepush_robometer_4b_22777693,train,15000,0.02
coffeepush_robometer_4b_22777693,train,20000,0.06
coffeepush_robometer_ft_22814674,eval,5000,0.0
coffeepush_robometer_ft_22814674,eval,10000,0.05
coffeepush_robometer_ft_22814674,eval,15000,0.0
coffeepush_robometer_ft_22814674,eval,20000,0.0
coffeepush_robometer_ft_22814674,train,5000,0.02
coffeepush_robometer_ft_22814674,train,10000,0.02
coffeepush_robometer_ft_22814674,train,15000,0.04
coffeepush_robometer_ft_22814674,train,20000,0.02
coffeepush_robometer_ft_22815328,eval,5000,0.05
coffeepush_robometer_ft_22815328,eval,10000,0.0
coffeepush_robometer_ft_22815328,eval,15000,0.0
coffeepush_robometer_ft_22815328,eval,20000,0.15
coffeepush_robometer_ft_22815328,train,5000,0.04
coffeepush_robometer_ft_22815328,train,10000,0.04
coffeepush_robometer_ft_22815328,train,15000,0.0
coffeepush_robometer_ft_22815328,train,20000,0.0
coffeepush_robometer_ft_22815674,eval,5000,0.0
coffeepush_robometer_ft_22815674,eval,10000,0.0
coffeepush_robometer_ft_22815674,eval,15000,0.1
coffeepush_robometer_ft_22815674,eval,20000,0.0
coffeepush_robometer_ft_22815674,train,5000,0.04
coffeepush_robometer_ft_22815674,train,10000,0.0
coffeepush_robometer_ft_22815674,train,15000,0.02
coffeepush_robometer_ft_22815674,train,20000,0.0
coffeepush_robometer_ft_22848892,eval,5000,0.0
coffeepush_robometer_ft_22848892,eval,10000,0.05
coffeepush_robometer_ft_22848892,eval,15000,0.0
coffeepush_robometer_ft_22848892,eval,20000,0.0
coffeepush_robometer_ft_22848892,train,5000,0.04
coffeepush_robometer_ft_22848892,train,10000,0.0
coffeepush_robometer_ft_22848892,train,15000,0.0
coffeepush_robometer_ft_22848892,train,20000,0.02
coffeepush_robometer_ft_22848893,eval,5000,0.0
coffeepush_robometer_ft_22848893,eval,10000,0.0
coffeepush_robometer_ft_22848893,eval,15000,0.1
coffeepush_robometer_ft_22848893,eval,20000,0.0
coffeepush_robometer_ft_22848893,train,5000,0.02
coffeepush_robometer_ft_22848893,train,10000,0.02
coffeepush_robometer_ft_22848893,train,15000,0.02
coffeepush_robometer_ft_22848893,train,20000,0.02
coffeepush_robometer_ft_22848894,eval,5000,0.0
coffeepush_robometer_ft_22848894,eval,10000,0.0
coffeepush_robometer_ft_22848894,eval,15000,0.0
coffeepush_robometer_ft_22848894,eval,20000,0.0
coffeepush_robometer_ft_22848894,train,5000,0.02
coffeepush_robometer_ft_22848894,train,10000,0.0
coffeepush_robometer_ft_22848894,train,15000,0.02
coffeepush_robometer_ft_22848894,train,20000,0.0
coffeepush_robometer_ft_22866918,eval,5000,0.0
coffeepush_robometer_ft_22866918,eval,10000,0.0
coffeepush_robometer_ft_22866918,eval,15000,0.1
coffeepush_robometer_ft_22866918,eval,20000,0.0
coffeepush_robometer_ft_22866918,train,5000,0.0
coffeepush_robometer_ft_22866918,train,10000,0.0
coffeepush_robometer_ft_22866918,train,15000,0.02
coffeepush_robometer_ft_22866918,train,20000,0.04
coffeepush_robometer_4b_22869092,eval,5000,0.0
coffeepush_robometer_4b_22869092,eval,10000,0.1
coffeepush_robometer_4b_22869092,eval,15000,0.2
coffeepush_robometer_4b_22869092,eval,20000,0.15
coffeepush_robometer_4b_22869092,train,5000,0.0
coffeepush_robometer_4b_22869092,train,10000,0.0
coffeepush_robometer_4b_22869092,train,15000,0.0
coffeepush_robometer_4b_22869092,train,20000,0.06
stickpull_robometer_4b_22871302,eval,5000,0.0
stickpull_robometer_4b_22871302,eval,10000,0.0
stickpull_robometer_4b_22871302,eval,15000,0.0
